Gender,Age,Height,Weight,family_history_with_overweight,FAVC,FCVC,NCP,CAEC,SMOKE,CH2O,SCC,FAF,TUE,CALC,MTRANS,NObeyesdad,Age_equal_depth,Height_equal_depth,Weight_equal_depth
Male,0.3191489361702128,0.6037735849056602,0.3283582089552239,no,yes,1.0,4.0,Frequently,no,3.0,no,0.0,1.0,no,Motorbike,Overweight_Level_I,3,3,1
Female,0.36170212765957444,0.2452830188679247,0.2164179104477612,yes,no,2.0,1.0,Sometimes,no,1.0,no,1.0,0.0,Sometimes,Public_Transportation,Overweight_Level_II,3,0,1
Female,0.21276595744680848,0.6037735849056602,0.2761194029850746,no,no,2.0,3.0,Sometimes,no,3.0,no,1.0,1.0,Sometimes,Walking,Normal_Weight,2,3,1
Male,0.5319148936170213,0.6415094339622645,0.38059701492537307,no,no,2.0,1.0,Sometimes,no,2.0,no,0.0,0.0,Sometimes,Public_Transportation,Overweight_Level_II,3,3,2
Male,0.17021276595744683,0.37735849056603765,0.17164179104477612,no,yes,2.0,4.0,Frequently,no,2.0,no,2.0,0.0,Sometimes,Public_Transportation,Normal_Weight,1,1,0
Female,0.14893617021276595,0.09433962264150964,0.19402985074626866,yes,no,2.0,3.0,Sometimes,no,2.0,no,2.0,2.0,Sometimes,Public_Transportation,Overweight_Level_II,1,0,0
Female,0.17021276595744683,0.20754716981132093,0.07462686567164178,no,yes,2.0,3.0,Sometimes,no,1.0,yes,2.0,0.0,no,Walking,Normal_Weight,1,0,0
Female,0.14893617021276595,0.28301886792452846,0.06716417910447758,no,yes,2.0,3.0,Sometimes,no,1.0,no,1.0,0.0,Sometimes,Public_Transportation,Normal_Weight,1,0,0
Male,0.19148936170212766,0.37735849056603765,0.208955223880597,yes,yes,2.0,3.0,Sometimes,no,2.0,no,1.0,1.0,Sometimes,Public_Transportation,Normal_Weight,2,1,1
Female,0.14893617021276595,0.5660377358490565,0.3656716417910448,yes,yes,2.0,3.0,Sometimes,no,3.0,no,3.0,0.0,Sometimes,Public_Transportation,Overweight_Level_II,1,2,2
Female,0.14893617021276595,0.4150943396226414,0.2686567164179104,yes,yes,2.0,3.0,Sometimes,no,2.0,no,1.0,0.0,Sometimes,Public_Transportation,Overweight_Level_I,1,1,1
Male,0.19148936170212766,0.4339622641509435,0.15671641791044777,no,no,2.0,4.0,Frequently,no,2.0,no,0.0,0.0,no,Walking,Normal_Weight,2,1,0
Female,0.14893617021276595,0.3962264150943393,0.18656716417910446,yes,yes,1.0,3.0,Sometimes,no,1.0,no,0.0,0.0,no,Public_Transportation,Normal_Weight,1,1,0
Male,0.14893617021276595,0.3962264150943393,0.17164179104477612,yes,yes,2.0,3.0,Sometimes,yes,2.0,no,1.0,1.0,Frequently,Public_Transportation,Normal_Weight,1,1,0
Male,0.14893617021276595,0.6792452830188682,0.3059701492537313,no,no,1.0,3.0,no,no,2.0,no,2.0,0.0,no,Public_Transportation,Normal_Weight,1,3,1
Female,0.14893617021276595,0.15094339622641506,0.19402985074626866,yes,no,2.0,3.0,Sometimes,no,1.0,no,0.0,1.0,no,Public_Transportation,Overweight_Level_II,1,0,0
Male,0.14893617021276595,0.6981132075471699,0.2462686567164179,yes,yes,1.0,3.0,Frequently,no,3.0,no,2.0,0.0,Sometimes,Public_Transportation,Normal_Weight,1,3,1
Male,0.14893617021276595,0.5660377358490565,0.2462686567164179,yes,yes,1.0,3.0,Frequently,no,3.0,no,2.0,0.0,Sometimes,Public_Transportation,Normal_Weight,1,2,1
Female,0.12765957446808512,0.3962264150943393,0.15671641791044777,yes,no,3.0,3.0,Sometimes,no,2.0,no,1.0,0.0,Sometimes,Walking,Normal_Weight,1,1,0
Female,0.14893617021276595,0.18867924528301883,0.08208955223880593,no,yes,2.0,3.0,Sometimes,no,2.0,no,0.0,0.0,Sometimes,Public_Transportation,Normal_Weight,1,0,0
Female,0.14893617021276595,0.30188679245283057,0.11567164179104478,yes,yes,3.0,3.0,Sometimes,no,3.0,no,0.0,1.0,Sometimes,Walking,Normal_Weight,1,0,0
Female,0.12765957446808512,0.09433962264150964,0.03731343283582089,no,yes,2.0,3.0,Sometimes,no,1.0,no,0.0,0.0,Sometimes,Automobile,Normal_Weight,1,0,0
Female,0.19148936170212766,0.35849056603773555,0.09701492537313433,no,yes,3.0,1.0,Sometimes,no,2.0,no,2.0,2.0,no,Public_Transportation,Normal_Weight,2,1,0
Female,0.19148936170212766,0.3396226415094339,0.11940298507462688,yes,no,3.0,3.0,no,no,2.0,yes,2.0,1.0,no,Public_Transportation,Normal_Weight,2,0,0
Female,0.17021276595744683,0.28301886792452846,0.11940298507462688,no,no,3.0,4.0,Always,no,3.0,no,2.0,0.0,no,Public_Transportation,Normal_Weight,1,0,0
Male,0.19148936170212766,0.4339622641509435,0.17164179104477612,no,no,2.0,4.0,Frequently,no,2.0,no,0.0,0.0,Sometimes,Automobile,Normal_Weight,2,1,0
Male,0.17021276595744683,0.4716981132075473,0.2313432835820895,yes,yes,2.0,3.0,Sometimes,no,1.0,no,0.0,1.0,Sometimes,Automobile,Normal_Weight,1,1,1
Male,0.14893617021276595,0.35849056603773555,0.19402985074626866,yes,no,2.0,3.0,Sometimes,no,1.0,no,0.0,1.0,no,Public_Transportation,Normal_Weight,1,1,0
Female,0.06382978723404253,0.37735849056603765,0.208955223880597,yes,yes,3.0,1.0,Sometimes,no,2.0,no,1.0,1.0,no,Walking,Normal_Weight,0,1,1
Male,0.12765957446808512,0.5849056603773586,0.11940298507462688,yes,yes,2.0,4.0,Sometimes,no,3.0,no,2.0,2.0,no,Public_Transportation,Insufficient_Weight,1,2,0
Female,0.14893617021276595,0.18867924528301883,0.07462686567164178,yes,yes,2.0,3.0,Sometimes,no,3.0,no,3.0,1.0,Sometimes,Public_Transportation,Normal_Weight,1,0,0
Male,0.12765957446808512,0.37735849056603765,0.14179104477611937,no,yes,2.0,3.0,Sometimes,no,2.0,no,3.0,1.0,Sometimes,Public_Transportation,Normal_Weight,1,1,0
Male,0.17021276595744683,0.4150943396226414,0.17164179104477612,no,yes,2.0,1.0,no,no,2.0,no,0.0,0.0,Sometimes,Public_Transportation,Normal_Weight,1,1,0
Male,0.17021276595744683,0.4339622641509435,0.11940298507462688,yes,yes,2.0,3.0,Sometimes,no,2.0,no,0.0,2.0,Sometimes,Automobile,Normal_Weight,1,1,0
Female,0.14893617021276595,0.3962264150943393,0.13432835820895522,yes,yes,2.0,3.0,Frequently,no,1.0,no,1.0,1.0,no,Public_Transportation,Normal_Weight,1,1,0
Female,0.14893617021276595,0.3207547169811322,0.2238805970149254,yes,yes,1.0,3.0,Frequently,no,2.0,no,0.0,1.0,no,Public_Transportation,Overweight_Level_I,1,0,1
Male,0.19148936170212766,0.6603773584905661,0.38059701492537307,yes,yes,1.0,3.0,Always,no,2.0,no,0.0,2.0,Frequently,Public_Transportation,Overweight_Level_II,2,3,2
Male,0.19148936170212766,0.37735849056603765,0.41791044776119396,yes,yes,2.0,3.0,Always,no,2.0,no,0.0,1.0,Frequently,Automobile,Obesity_Type_I,2,1,2
Male,0.34042553191489366,0.5849056603773586,0.544776119402985,yes,yes,1.0,3.0,no,yes,2.0,yes,0.0,0.0,Frequently,Automobile,Obesity_Type_II,3,2,3
Male,0.19148936170212766,0.6603773584905661,0.15671641791044777,yes,no,2.0,3.0,no,no,3.0,no,0.0,1.0,Sometimes,Public_Transportation,Normal_Weight,2,3,0
Female,0.19148936170212766,0.37735849056603765,0.3059701492537313,yes,yes,2.0,3.0,Always,no,2.0,no,0.0,2.0,no,Public_Transportation,Overweight_Level_II,2,1,1
Female,0.17021276595744683,0.4150943396226414,0.08208955223880593,yes,no,3.0,3.0,no,no,3.0,yes,2.0,1.0,Sometimes,Public_Transportation,Insufficient_Weight,1,1,0
Female,0.21276595744680848,0.37735849056603765,0.15671641791044777,yes,no,2.0,3.0,Sometimes,no,3.0,yes,1.0,0.0,no,Public_Transportation,Normal_Weight,2,1,0
Male,0.10638297872340424,0.7547169811320757,0.19402985074626866,yes,no,2.0,3.0,Sometimes,no,3.0,no,2.0,1.0,Sometimes,Bike,Normal_Weight,0,3,0
Male,0.21276595744680848,0.4716981132075473,0.3432835820895522,yes,yes,2.0,3.0,Frequently,no,3.0,no,0.0,1.0,Frequently,Public_Transportation,Overweight_Level_II,2,1,2
Female,0.19148936170212766,0.3396226415094339,0.04477611940298504,yes,no,3.0,3.0,Sometimes,no,3.0,yes,2.0,0.0,no,Public_Transportation,Insufficient_Weight,2,0,0
Female,0.21276595744680848,0.28301886792452846,0.04477611940298504,yes,no,2.0,3.0,no,no,2.0,no,1.0,0.0,no,Public_Transportation,Insufficient_Weight,2,0,0
Female,0.21276595744680848,0.4716981132075473,0.3059701492537313,yes,yes,2.0,3.0,Sometimes,no,3.0,no,0.0,0.0,no,Public_Transportation,Overweight_Level_II,2,1,1
Female,0.19148936170212766,0.37735849056603765,0.38059701492537307,yes,yes,2.0,3.0,Sometimes,no,3.0,no,0.0,1.0,no,Public_Transportation,Obesity_Type_I,2,1,2
Male,0.19148936170212766,0.37735849056603765,0.15671641791044777,yes,no,2.0,3.0,Sometimes,no,2.0,no,0.0,0.0,Sometimes,Public_Transportation,Normal_Weight,2,1,0
Female,0.10638297872340424,0.3396226415094339,0.14179104477611937,no,no,3.0,3.0,Sometimes,no,2.0,yes,0.0,0.0,no,Public_Transportation,Normal_Weight,0,0,0
Male,0.34042553191489366,0.6603773584905661,0.38805970149253727,yes,yes,2.0,3.0,Frequently,no,2.0,no,0.0,0.0,Sometimes,Public_Transportation,Overweight_Level_II,3,3,2
Male,0.19148936170212766,0.4150943396226414,0.34701492537313433,yes,yes,2.0,3.0,Always,no,2.0,no,0.0,1.0,no,Public_Transportation,Obesity_Type_I,2,1,2
Female,0.10638297872340424,0.28301886792452846,0.04477611940298504,no,no,3.0,3.0,no,no,3.0,yes,2.0,0.0,no,Walking,Insufficient_Weight,0,0,0
Male,0.23404255319148937,0.4716981132075473,0.3283582089552239,yes,yes,2.0,3.0,Frequently,no,2.0,no,0.0,1.0,Sometimes,Public_Transportation,Overweight_Level_II,2,1,1
Male,0.19148936170212766,0.37735849056603765,0.14552238805970147,yes,no,2.0,3.0,Sometimes,no,2.0,no,0.0,0.0,no,Public_Transportation,Normal_Weight,2,1,0
Male,0.14893617021276595,0.7547169811320757,0.3283582089552239,yes,yes,2.0,1.0,Frequently,no,3.0,no,1.0,0.0,no,Public_Transportation,Normal_Weight,1,3,1
Male,0.10638297872340424,0.6981132075471699,0.3582089552238806,yes,yes,2.0,3.0,Sometimes,no,2.0,no,0.0,0.0,no,Public_Transportation,Overweight_Level_I,0,3,2
Female,0.17021276595744683,0.37735849056603765,0.19402985074626866,yes,yes,2.0,3.0,Frequently,no,2.0,yes,1.0,0.0,no,Automobile,Normal_Weight,1,1,0
Female,0.3191489361702128,0.4716981132075473,0.291044776119403,yes,yes,3.0,3.0,Sometimes,no,1.0,no,2.0,1.0,Frequently,Automobile,Overweight_Level_II,3,1,1
Female,0.23404255319148937,0.3396226415094339,0.40298507462686567,no,no,3.0,4.0,Always,no,1.0,no,2.0,0.0,no,Public_Transportation,Obesity_Type_II,2,0,2
Female,0.12765957446808512,0.30188679245283057,0.18656716417910446,yes,no,3.0,3.0,Always,no,2.0,yes,0.0,1.0,Frequently,Public_Transportation,Normal_Weight,1,0,0
Male,0.8723404255319149,0.6226415094339623,0.3358208955223881,yes,no,3.0,4.0,Frequently,no,3.0,yes,3.0,0.0,Frequently,Walking,Overweight_Level_I,3,3,2
Female,0.12765957446808512,0.28301886792452846,0.13432835820895522,no,no,3.0,3.0,Always,no,2.0,no,1.0,0.0,no,Walking,Normal_Weight,1,0,0
Female,0.21276595744680848,0.28301886792452846,0.06716417910447758,no,yes,3.0,3.0,Sometimes,no,2.0,no,2.0,0.0,no,Public_Transportation,Normal_Weight,2,0,0
Male,0.25531914893617025,0.4716981132075473,0.2313432835820895,yes,no,3.0,1.0,Frequently,no,2.0,no,2.0,0.0,Frequently,Public_Transportation,Normal_Weight,2,1,1
Female,0.19148936170212766,0.3962264150943393,0.15671641791044777,yes,no,2.0,3.0,Sometimes,no,2.0,no,3.0,0.0,Sometimes,Public_Transportation,Normal_Weight,2,1,0
Female,0.14893617021276595,0.1320754716981134,0.022388059701492546,no,no,3.0,1.0,Frequently,no,1.0,no,0.0,0.0,Sometimes,Public_Transportation,Insufficient_Weight,1,0,0
Female,0.14893617021276595,0.1320754716981134,0.022388059701492546,no,no,3.0,1.0,Frequently,no,1.0,no,0.0,0.0,Sometimes,Public_Transportation,Insufficient_Weight,1,0,0
Male,0.19148936170212766,0.509433962264151,0.2313432835820895,no,no,2.0,3.0,Sometimes,no,2.0,no,3.0,1.0,Frequently,Public_Transportation,Normal_Weight,2,2,1
Female,0.14893617021276595,0.4528301886792452,0.17910447761194026,no,yes,3.0,1.0,Sometimes,no,1.0,no,0.0,0.0,Sometimes,Public_Transportation,Normal_Weight,1,1,0
Male,0.17021276595744683,0.4716981132075473,0.2044776119402985,yes,no,2.0,3.0,Frequently,no,2.0,no,0.0,0.0,no,Public_Transportation,Normal_Weight,1,1,1
Female,0.14893617021276595,0.18867924528301883,0.13432835820895522,no,yes,2.0,4.0,Frequently,no,2.0,yes,2.0,0.0,Sometimes,Automobile,Normal_Weight,1,0,0
Female,0.17021276595744683,0.37735849056603765,0.14179104477611937,yes,yes,3.0,4.0,Frequently,no,2.0,no,1.0,0.0,Sometimes,Public_Transportation,Normal_Weight,1,1,0
Female,0.5106382978723404,0.20754716981132093,0.3059701492537313,yes,yes,2.0,3.0,Sometimes,no,2.0,no,0.0,0.0,Sometimes,Automobile,Obesity_Type_I,3,0,1
Female,0.23404255319148937,0.22641509433962304,0.11940298507462688,no,yes,2.0,1.0,Sometimes,no,2.0,no,2.0,0.0,Sometimes,Public_Transportation,Normal_Weight,2,0,0
Female,0.23404255319148937,0.22641509433962304,0.11940298507462688,no,yes,2.0,1.0,Sometimes,no,2.0,no,2.0,0.0,Sometimes,Public_Transportation,Normal_Weight,2,0,0
Male,0.17021276595744683,0.8113207547169807,0.38059701492537307,yes,yes,2.0,3.0,Always,no,1.0,no,0.0,1.0,Sometimes,Automobile,Overweight_Level_I,1,3,2
Male,0.17021276595744683,0.5660377358490565,0.41791044776119396,yes,no,2.0,3.0,Sometimes,no,3.0,no,3.0,2.0,no,Walking,Obesity_Type_I,1,2,2
Female,0.14893617021276595,0.37735849056603765,0.3656716417910448,yes,yes,3.0,1.0,Sometimes,no,3.0,no,2.0,1.0,no,Public_Transportation,Obesity_Type_I,1,1,2
Male,0.14893617021276595,0.5660377358490565,0.2686567164179104,yes,yes,3.0,3.0,Sometimes,no,2.0,no,0.0,1.0,Sometimes,Public_Transportation,Normal_Weight,1,2,1
Female,0.17021276595744683,0.2452830188679247,0.14179104477611937,yes,yes,2.0,1.0,Sometimes,no,1.0,no,0.0,0.0,no,Public_Transportation,Normal_Weight,1,0,0
Female,0.08510638297872342,0.20754716981132093,0.08955223880597013,yes,yes,2.0,4.0,Frequently,no,2.0,no,1.0,0.0,Sometimes,Public_Transportation,Normal_Weight,0,0,0
Female,0.17021276595744683,0.09433962264150964,0.07462686567164178,yes,no,2.0,1.0,Sometimes,no,2.0,no,3.0,0.0,no,Walking,Normal_Weight,1,0,0
Female,0.10638297872340424,0.30188679245283057,0.17164179104477612,yes,yes,3.0,1.0,Frequently,no,2.0,no,1.0,0.0,Frequently,Public_Transportation,Normal_Weight,0,0,0
Female,0.06382978723404253,0.5660377358490565,0.13432835820895522,yes,yes,3.0,3.0,Frequently,no,2.0,no,0.0,1.0,no,Public_Transportation,Normal_Weight,0,2,0
Female,0.021276595744680882,0.37735849056603765,0.3507462686567164,yes,yes,3.0,3.0,Sometimes,no,1.0,no,3.0,2.0,no,Walking,Obesity_Type_I,0,1,2
Female,0.06382978723404253,0.4716981132075473,0.3432835820895522,yes,no,2.0,3.0,Frequently,no,2.0,no,1.0,1.0,no,Public_Transportation,Overweight_Level_II,0,1,2
Male,0.19148936170212766,0.3207547169811322,0.10447761194029848,yes,yes,2.0,3.0,Sometimes,no,2.0,no,1.0,1.0,Sometimes,Public_Transportation,Normal_Weight,2,0,0
Female,0.10638297872340424,0.3396226415094339,0.2761194029850746,yes,no,3.0,3.0,Frequently,yes,3.0,no,2.0,1.0,Sometimes,Automobile,Overweight_Level_II,0,0,1
Female,0.19148936170212766,0.4150943396226414,0.2686567164179104,yes,yes,2.0,3.0,Frequently,yes,2.0,no,0.0,2.0,no,Walking,Overweight_Level_I,2,1,1
Male,0.19148936170212766,0.7924528301886795,0.41791044776119396,yes,yes,1.0,3.0,Frequently,no,2.0,no,0.0,2.0,Frequently,Public_Transportation,Overweight_Level_II,2,3,2
Male,0.14893617021276595,0.5660377358490565,0.08208955223880593,yes,no,3.0,4.0,Frequently,no,1.0,no,1.0,0.0,no,Walking,Insufficient_Weight,1,2,0
Male,0.21276595744680848,0.3962264150943393,0.208955223880597,yes,yes,3.0,1.0,Sometimes,no,2.0,no,1.0,0.0,no,Public_Transportation,Normal_Weight,2,1,1
Male,0.19148936170212766,0.5849056603773586,0.38059701492537307,no,yes,3.0,3.0,Sometimes,no,1.0,no,0.0,0.0,no,Public_Transportation,Overweight_Level_II,2,2,2
Male,0.08510638297872342,0.5660377358490565,0.3059701492537313,yes,yes,2.0,3.0,Always,no,2.0,no,0.0,0.0,Frequently,Public_Transportation,Overweight_Level_I,0,2,1
Male,0.10638297872340424,0.4150943396226414,0.2164179104477612,no,yes,2.0,3.0,Sometimes,no,2.0,no,1.0,0.0,Sometimes,Public_Transportation,Normal_Weight,0,1,1
Female,0.10638297872340424,0.37735849056603765,0.16417910447761191,no,yes,3.0,1.0,Sometimes,no,3.0,yes,1.0,0.0,Sometimes,Public_Transportation,Normal_Weight,0,1,0
Male,0.12765957446808512,0.509433962264151,0.2313432835820895,yes,yes,3.0,3.0,Frequently,no,1.0,no,0.0,0.0,Sometimes,Public_Transportation,Normal_Weight,1,2,1
Male,0.276595744680851,0.4716981132075473,0.291044776119403,no,yes,3.0,3.0,Sometimes,no,3.0,no,1.0,1.0,Frequently,Public_Transportation,Overweight_Level_II,3,1,1
Female,0.12765957446808512,0.2452830188679247,0.10447761194029848,yes,yes,2.0,4.0,Frequently,no,2.0,no,1.0,1.0,no,Public_Transportation,Normal_Weight,1,0,0
Male,0.19148936170212766,0.3207547169811322,0.14179104477611937,no,no,2.0,3.0,Sometimes,no,1.0,no,1.0,0.0,no,Public_Transportation,Normal_Weight,2,0,0
Female,0.10638297872340424,0.37735849056603765,0.12686567164179102,yes,yes,3.0,3.0,Frequently,yes,3.0,yes,1.0,2.0,Frequently,Public_Transportation,Normal_Weight,0,1,0
Female,1.0,0.37735849056603765,0.2014925373134328,no,yes,3.0,3.0,Always,no,2.0,no,1.0,1.0,Frequently,Public_Transportation,Normal_Weight,3,1,1
Male,0.34042553191489366,0.6037735849056602,0.5223880597014925,yes,yes,3.0,3.0,Sometimes,no,1.0,no,2.0,0.0,Sometimes,Automobile,Obesity_Type_I,3,3,3
Male,0.21276595744680848,0.4716981132075473,0.2686567164179104,yes,yes,2.0,3.0,Sometimes,no,2.0,no,1.0,0.0,Sometimes,Automobile,Overweight_Level_I,2,1,1
Male,0.23404255319148937,0.6415094339622645,0.2462686567164179,yes,yes,2.0,3.0,Sometimes,no,2.0,no,1.0,1.0,Sometimes,Public_Transportation,Normal_Weight,2,3,1
Male,0.6382978723404256,0.28301886792452846,0.3059701492537313,yes,no,2.0,3.0,Sometimes,yes,3.0,no,0.0,0.0,no,Motorbike,Obesity_Type_I,3,0,1
Male,0.36170212765957444,0.5849056603773586,0.2686567164179104,yes,no,3.0,3.0,Always,no,3.0,yes,3.0,0.0,no,Bike,Normal_Weight,3,2,1
Male,0.23404255319148937,0.4716981132075473,0.2164179104477612,no,yes,2.0,3.0,Frequently,no,2.0,no,0.0,1.0,no,Public_Transportation,Normal_Weight,2,1,1
Male,0.19148936170212766,0.8301886792452828,0.19402985074626866,yes,yes,3.0,3.0,Frequently,no,3.0,no,1.0,1.0,Sometimes,Public_Transportation,Insufficient_Weight,2,3,0
Male,0.23404255319148937,0.7924528301886795,0.2014925373134328,no,yes,3.0,3.0,Always,no,2.0,no,2.0,0.0,Frequently,Public_Transportation,Normal_Weight,2,3,1
Male,0.19148936170212766,0.5471698113207548,0.4067164179104477,no,yes,2.0,3.0,Frequently,yes,1.0,no,1.0,1.0,Frequently,Automobile,Obesity_Type_I,2,2,2
Female,0.42553191489361697,0.4339622641509435,0.2686567164179104,no,yes,3.0,1.0,Sometimes,no,1.0,no,0.0,0.0,Sometimes,Automobile,Overweight_Level_I,3,1,1
Male,0.17021276595744683,0.30188679245283057,0.208955223880597,yes,no,2.0,4.0,Sometimes,no,3.0,yes,2.0,2.0,Sometimes,Public_Transportation,Overweight_Level_I,1,0,1
Male,0.14893617021276595,0.3207547169811322,0.2313432835820895,no,yes,2.0,1.0,no,no,3.0,no,1.0,0.0,Sometimes,Public_Transportation,Overweight_Level_I,1,0,1
Female,0.21276595744680848,0.20754716981132093,0.08955223880597013,no,no,3.0,3.0,Frequently,no,2.0,no,2.0,2.0,Frequently,Public_Transportation,Normal_Weight,2,0,0
Female,0.46808510638297873,0.3396226415094339,0.3059701492537313,yes,no,3.0,3.0,Sometimes,no,1.0,no,0.0,0.0,Sometimes,Automobile,Obesity_Type_I,3,0,1
Female,0.276595744680851,0.28301886792452846,0.16417910447761191,no,yes,3.0,3.0,Always,no,2.0,no,0.0,0.0,Sometimes,Automobile,Normal_Weight,3,0,0
Female,0.3829787234042553,0.4150943396226414,0.38059701492537307,yes,yes,3.0,1.0,Sometimes,no,2.0,no,2.0,0.0,Sometimes,Automobile,Obesity_Type_I,3,1,2
Male,0.23404255319148937,0.6226415094339623,0.291044776119403,yes,yes,2.0,1.0,Sometimes,no,2.0,no,2.0,1.0,Sometimes,Public_Transportation,Normal_Weight,2,3,1
